nominativo,regione,sesso,città_nascita,lat,lon,scheda,link,id
Fulvio Cerofolini,Liguria,M,Genova,44.40726,8.93386,"Fulvio Cerofolini Nato a Genova il 5 dicembre 1928 Racconta del fratello Angelo, classe 1915, arruolato nella Battaglione Cesare Battisti della Brigata garibaldina “Ateo Garemi”, caduto il 2 maggio 1945 (nell’intervista per errore viene indicato il 2 aprile) Fulvio sarà poi per dieci anni sindaco socialista di Genova L’intervista è stata realizzata nel novembre 2008",https://www.noipartigiani.it/cerofolini/,1023355230
Guido Cava,Liguria,M,La Spezia,44.10427,9.82319,Guido Cava Nato a La Spezia il 13 marzo 1930 Racconta l’abbandono della scuola per le leggi razziali del 1938 e la vita di una famiglia ebraica sotto il fascismo È stato presidente della Comunità ebraica di Pisa La sua storia è raccontata anche nella fiction Rai “Figli del destino” L’intervista è stata realizzata nell’ottobre 2019,https://www.noipartigiani.it/cava/,1023355175
Guelfo Del Rio,Liguria,M,Arcola (SP),44.11361,9.90564,"Guelfo Del Rio Nato ad Arcola (SP) nel 1927, operaio Ha partecipato allo sciopero del marzo 1944 della fabbrica Oto Melara di Spezia poi è salito in montagna Brigata Vanni, comandante Mario Fontana L’intervista è stata realizzata nel luglio 2007",https://www.noipartigiani.it/del-rio/,1023355428
Leonildo Fumagalli,Lombardia,M,Gavirate (VA),45.84274,8.71714,"Nato a Gavirate (VA) il 7 gennaio 1919. Formazione Cocchio, Gruppo Trevisago. Arrestato nel gennaio 1944, a giugno fu deportato a Mauthausen. L’intervista è stata realizzata da Paolo De Toni e Nico Tordini nel 2016.",https://www.noipartigiani.it/fumagalli-2/,1023355635
Carlo Ganni,Piemonte,M,Pralungo (VC),45.59013,8.05389,"Nato a Pralungo (VC) il 7 novembre 1929, operaio meccanico. Nome di battaglia “Gagno”, 75ª Brigata Garibaldi. Aveva solo 14 anni quando nel maggio 1944 fu arrestato dai fascisti e detenuto per 31 giorni: liberato, raggiunse i partigiani in montagna. Ha raccontato la sua storia nel libro “Cara libertà”. L’intervista è stata realizzata nel febbraio 2019 da Rolando Magliola e Piergiorgio Clerici.",https://www.noipartigiani.it/ganni/,1023355691
Mario Giacomelli,Liguria,M,Castelnuovo Magra (SP),44.09703,10.01633,"Nato a Castelnuovo Magra (SP) il 2 marzo 1924. Nome di battaglia “Ludovico”, Brigata Ugo Muccini. L’intervista è stata realizzata nel luglio 2007.",https://www.noipartigiani.it/giacomelli/,1023355894
Gian Matteo Oddone,Liguria,M,Calizzano (SV),44.23555,8.11354,"Nato a Calizzano (SV) l’1 gennaio 1926. Nome di battaglia “Lince”, Brigata “Gin Bevilacqua”. L’intervista è stata realizzata da Lab Buster Keaton nel 2015.",https://www.noipartigiani.it/oddone-2/,805503347
Francesco Panizzi,Liguria,M,Genova,44.40726,8.93386,"Nato a Genova l’1 marzo 1926, operaio. Nome di battaglia “Racchetta”, Sap, Comandante della “Brigata Sordi” di Sestri Ponente che operava nelle fabbriche. L’intervista è stata realizzata nel settembre 2006.",https://www.noipartigiani.it/panizzi/,1023356321
Vilma Pizzin,Friuli Venezia Giulia,F,Pasiano di Pordenone (PN),45.84534,12.63009,"Nata a Pasiano di Pordenone (PN) nel 1926. Staffetta. Il marito Salvatore Biasotto “Alano” militava nella Brigata “Veneziano”, Divisione Garibaldi “Modotti”. L’intervista è stata realizzata nel 2015.",https://www.noipartigiani.it/pizzin/,1023356566
Dumas Remoli,Toscana,M,Pistoia,43.93175,10.91694,"Nato a Pistoia il 30 agosto 1927. Svolse attività clandestina in città prima di arruolarsi come volontario nel Nuovo Esercito Italiano, Divisione Cremona. Ha partecipato alla liberazione di Alfonsine. L’intervista è stata realizzata nel marzo 2020.",https://www.noipartigiani.it/remoli/,1023356599
Giuseppe Ricci,Piemonte,M,Cassine (AL),44.75052,8.52843,"Nato a Cassine (AL) l’8 dicembre 1924, ferroviere. Nome di battaglia “Eros”, 9ª Divisione Garibaldi. L’intervista è stata realizzata nel luglio 2020.",https://www.noipartigiani.it/ricci/,1023356682
Zenech Marani,Emilia-Romagna,F,Correggio (RE),44.77121,10.78082,"Nata a Correggio (RE) il 12 gennaio 1924, operaia. Nome di battaglia “Katia”. Ha partecipato alla Resistenza in Liguria come staffetta per la Brigata “Ugo Muccini”. L’intervista è stata realizzata nel luglio 2007.",https://www.noipartigiani.it/zenech/,1023356868
Angiolino Vecchi,Emilia-Romagna,M,Reggio Emilia,44.69824,10.63125,"Nato a Reggio Emilia il 13 settembre 1942. Racconta la storia della sua famiglia: gli zii Giuseppe e Gino furono uccisi dai fascisti perché offrivano protezione ai partigiani. L’altro zio, Giovanni, partigiano, morì in un combattimento in montagna. Il padre di Angiolino, Onesto, non è mai tornato dalla campagna di Russia.",https://www.noipartigiani.it/angiolino-vecchi-testimone/,1023356823
Ezio Tassone,Piemonte,M,Cuneo,44.38955,7.54786,"Nato a Cuneo il 9 ottobre 1929, studente. Nome di battaglia “Pisellino”. Staffetta Servizio X, Divisone Autonoma Rinnovamento comandata da Piero Cosa. L’intervista è stata realizzata nel settembre 2024 da Giulia Arduino.",https://www.noipartigiani.it/tassone/,1020608725
Agostino Frabetti,Emilia-Romagna,M,Argelato (BO),44.64165,11.34863,"Nato ad Argelato (BO) il 4 febbraio 1928, studente. Ha partecipato alla Resistenza aiutando il padre Oreste, dirigente del partito comunista clandestino, e la madre Arveda Rambaldi. Oreste sarà catturato in seguito a una spiata e ucciso dai fascisti il 25 gennaio 1945. All’intervista partecipa Tiziano Frabetti, fratello di Agostino, nato nel 1940. L’intervista è stata realizzata nel novembre 2019.",https://www.noipartigiani.it/frabetti/,1020512014
Roberto Kasman,Piemonte,M,Torino,45.06775,7.68249,"Nato a Torino il 14 settembre 1928. Trasferitosi con la famiglia a Genova e poi a Chiavari, fu involontario protagonista di un avvelenamento ai danni di alcuni soldati tedeschi. A salvarlo fu il fratello Sergio, nome di battaglia “Marco”, che Ferruccio Parri nominò Capo di stato maggiore del Comando piazza di Milano per Giustizia e Libertà. Sergio Kasman, nato il 2 settembre 1920, fu ucciso a Milano in seguito a una delazione il 9 dicembre 1944. È Medaglia d’oro al Valor Militare. L’intervista è stata realizzata nell’ottobre 2024.",https://www.noipartigiani.it/kasman/,1019755702
Giulia Galleni,Toscana,F,Carrara,44.07727,10.09848,"Nata a Carrara il 14 agosto 1929, studentessa. Ha partecipato alla rivolta delle donne che, il 7 luglio 1944, impedirono l’evacuazione della città ordinata dai tedeschi. L’intervista è stata realizzata nell’aprile 2023 da Anna Galleni, Giuseppe e Chiara Bruschi.",https://www.noipartigiani.it/galleni/,1018595091
Alberina Bertogna,Friuli Venezia Giulia,F,Aquileia (UD),45.76957,13.36511,"Nata ad Aquileia (UD) il 10 luglio 1926. Nome di battaglia “Sasha”. Combattente e Staffetta Brigata Proletaria. Deportata in Germania. Nei giorni della Liberazione ha incontrato il futuro marito, Girolamo Stallone, Internato Militare. L’intervista è stata realizzata nel luglio 2024.",https://www.noipartigiani.it/bertogna/,1012735042
Maria Airaudo,Piemonte,F,Bagnolo Piemonte,44.76014,7.31175,"Nata a Bagnolo Piemonte il 18 ottobre 1924, operaia. Nome di battaglia “Mary”, 105 ª Brigata Garibaldi. Il 26 marzo 1945 è stata ferita ai polmoni dai fascisti che inseguivano dei partigiani che lei era andata ad avvisare. L’intervista è stata realizzata nel settembre 2024 da Giulia Arduino.",https://www.noipartigiani.it/airaudo/,1014811480
Albano Castellan,Friuli Venezia Giulia,M,Spilimbergo (PN),46.11181,12.90264,"Nato a Spilimbergo (PN) il 25 agosto 1923. Internato Militare Italiano, Battaglione Tolmezzo, 8 º Reggimento Alpini. Dopo l’8 settembre venne deportato in Polonia. L’intervista è stata realizzata nel giugno 2023 da Diego Compagnoni e Gianna Malisani.",https://www.noipartigiani.it/castellan/,1012361247
Manlio Simonato,Friuli Venezia Giulia,M,Morsano al Tagliamento,45.85906,12.92762,"Nato a Morsano al Tagliamento (PN) il 12 ottobre 1925, contadino. All’anagrafe risulta come Moglio, per un errore di trascrizione. Nome di battaglia “Fortezza”, “Ascaro”, Brigata “Ippolito Nievo”. Nell’intervista cita Pierpaolo Pasolini che ha conosciuto quando era ricoverato in ospedale per la tubercolosi. L’intervista è stata realizzata nel settembre 2024.",https://www.noipartigiani.it/simonato/,1010927137
Carla Argenton,Friuli Venezia Giulia,F,Cividale del Friuli,46.07341,13.43126,"Nata a Cividale del Friuli (UD) il 27 giugno 1935. Testimonia la storia del padre Mario Argenton, Ufficiale del Reggimento di Artiglieria a cavallo “Voloire”, componente del Comando Generale del Corpo Volontari della Libertà per il Partito Liberale Italiano e gli Autonomi, figura eminente della Resistenza. Argenton, decorato con Medaglia d’Argento, Croce di guerra e Bronze Star, è ritratto nella celebre foto della sfilata dei partigiani a Milano il 6 maggio 1945 con Mattei, Parri, Longo, Stucchi e Cadorna. L’intervista è stata realizzata nel gennaio 2020.",https://www.noipartigiani.it/argenton/,1010900222
Felice Tirone,Piemonte,M,Calliano (AT),45.00223,8.257,"Nato a Calliano (AT) l’1 luglio 1924. Nome di battaglia “Triso”, 9ª Brigata Matteotti. La sua storia è raccontata nel libro “Io c’ero” di Laura Nosenzo e Loredana Dova. L’intervista è stata realizzata nel luglio 2024.",https://www.noipartigiani.it/tirone_felice/,1009894541
Luciano Gatti,Toscana,M,Carrara,44.07727,10.09848,Nato a Carrara il 22 giugno 1932. Staffetta per la formazione “Giuseppe Ulivi”. Riconosciuto partigiano combattente. Nell’intervista fa riferimento ai fatti del 7 luglio 1944 quando le donne di Carrara si ribellarono all’ordine di evacuare la città arrivato dal comando tedesco. L’intervista è stata realizzata nel settembre 2024.,https://www.noipartigiani.it/gatti/,1009810539
Gino Bonfiglioli,Emilia-Romagna,M,Bazzano (BO),44.50284,11.08507,"Nato a Bazzano (BO) il 29 giugno 1926, operaio. Nome di battaglia “Biondo”. Ha svolto attività in collaborazione con un gruppo di antifascisti, le sorelle Anita e Olga sono state staffette. L’intervista è stata realizzata nell’agosto 2024.",https://www.noipartigiani.it/bonfiglioli-2/,1009772587
Enrica Canepa,Lazio/Lombardia,F,Ponza (LT),40.89679,12.96425,"Nata a Ponza (LT) il 23 ottobre 1931. È figlia di Giovanni Battista Canepa “Marzo”, combattente nella guerra di Spagna e commissario della brigata Pinan Cichero. Anche la madre Maria Vitiello è stata in montagna nel periodo della Resistenza. Nell’intervista fa riferimento alla morte del partigiano Raimondo Saverino “Severino”, ucciso il 21 maggio 1944. L’intervista è stata realizzata nel giugno 2024.",https://www.noipartigiani.it/canepa-2/,986513854
Pinuccia Galimberti,Lombardia,F,Desio (MB),45.61869,9.2081,Nata a Desio (MB) il 19 settembre 1932. Racconta il giorno in cui trovò nel bosco un partigiano ucciso e quello in cui il padre la portò a vedere i corpi di Mussolini e dei gerarchi a Piazzale Loreto. L’intervista è stata realizzata a giugno 2024.,https://www.noipartigiani.it/galimberti_pinuccia/,977742501
Ivo Teglia,Basilicata/Toscana,M,Buggiano (PT),43.89139,10.73356,"Nato a Buggiano (PT) il 9 gennaio 1927, contadino. Staffetta, poi in una formazione locale che contribuì a liberare la Valdinievole. Volontario nel Nuovo Esercito Italiano, Divisione Cremona, partecipò alla liberazione di Alfonsine. Sulla sua storia Irene Giacomelli ha scritto il libro “Il Partigiano e la marmellata”. L’intervista è stata realizzata nel 2020.",https://www.noipartigiani.it/teglia/,951169226
Elio Ferrari,Liguria,M,Ronco Scrivia (GE),44.62104,8.95459,"Nato a Ronco Scrivia (GE) il 24 gennaio 1923, tornitore. Nome di battaglia “Barba”, Divisione Mingo, Brigata Pio. L’intervista è stata realizzata a maggio 2024.",https://www.noipartigiani.it/ferrari_elio/,956394620
Teresa De Luca,Veneto,F,Vittorio Veneto (TV),45.98188,12.29656,"Nata a Vittorio Veneto (TV) il 30 giugno 1925, sarta. Nome di battaglia “Vera”. Ha svolto attività di supporto alla Brigata “Tollot”, Divisione Nino Nanetti. Nell’intervista fa riferimento alla morte di Armando Grava, “Rosa”, ucciso il 17 marzo 1945 dopo giorni di sevizie. L’intervista è stata realizzata a maggio 2024.",https://www.noipartigiani.it/de-luca/,953879892
Carlo Marchina,Piemonte,M,Pray (BI),45.67664,8.21204,"Nato a Piancieri Alto, Pray, (BI) il 27 luglio 1927. Nome di battaglia “Rolle”, 109ª Brigata Garibaldi. L’intervista è stata realizzata nel maggio 2024.",https://www.noipartigiani.it/marchina/,953067097
Giorgio Belli,Piemonte,M,Andorno Micca (BI),45.61058,8.0537,"Nato a Colma di Andorno (VC) il 26 dicembre 1926. Nome di battaglia “Audace”. 2ª Brigata Garibaldi, Distaccamento “Svizzero”. Ha preso il nome di battaglia del fratello Luciano, morto il 17 maggio 1944 nell’eccidio di Mottalciata in cui furono uccisi 17 partigiani. L’intervista è stata realizzata a maggio 2024.",https://www.noipartigiani.it/belli/,953197582
Angela Da Pont,Veneto,F,Mel (BL),46.06203,12.07923,"Nata a Mel (BL) il 9 novembre 1927, contadina. Ha svolto attività di supporto alla Brigata Mazzini, Divisione Nino Nanetti, dove era partigiano il marito Ferruccio Dal Toè “Bosco”, comandante di distaccamento. Nell’intervista fa riferimento al partigiano Fernando Boccaccini “Toscanino”, ucciso con altri dieci compagni a Sant’Antonio di Tortal il 10 marzo 1945. L’intervista è stata realizzata ad aprile 2024.",https://www.noipartigiani.it/da-pont/,951190310
Alfredo Enrichi,Toscana,M,Londa (FI),43.86016,11.56778,"Nato a Londa (FI) il 29 giugno 1923. Nome di battaglia “Nicche”. Militare negli “Arditi” dell’Esercito, 22ª Brigata “Vittorio Sinigaglia”. L’intervista è stata realizzata nel 2015 da Stefano Ballini.",https://www.noipartigiani.it/enrichi/,932503337
Primo Tortelli,Toscana,M,Prato,43.88056,11.09695,"Nato a Prato nel 1922, operaio. Brigata “Buricchi”. Con Luana Cecchi ha scritto il libro “Da invasore a partigiano”.",https://www.noipartigiani.it/tortelli/,920531287
Quartiero Ronchi,Emilia-Romagna,M,Casalfiumanese,44.30058,11.6234,"Nato a Casalfluminense (BO) il 12 aprile 1924. Nome di battaglia “Delo”, Sap. Croce di Guerra.",https://www.noipartigiani.it/ronchi/,923783918
Stefano Tondetta,Piemonte,M,Viganella (VB),46.05267,8.19391,"Nato a Viganella (NO) il 26 dicembre 1927. Nome di battaglia “Spedi”. Gruppo autonomo Fabbri (poi 83ª Brigata Garibaldi), IIª Divisione Redi. L’intervista è stata realizzata nel 2015 da Paolo De Toni.",https://www.noipartigiani.it/tondetta/,889975479
Pietro Gnecchi,Emilia-Romagna,M,Bedonia (PR),44.50242,9.63102,"Nato a Bedonia (PR), il 24 novembre 1925. Nome di battaglia “Garibaldi”. Distaccamento Picelli, 32ª Brigata Garibaldi, Sottotenente. È uno protagonisti della Battaglia del Lago Santo, sull’Appenino Tosco Emiliano: tra il 18 e il 19 marzo 1944, nove partigiani resistettero per venti ore, asserragliati in una baita, all’assalto di più di un centinaio di uomini tra fascisti e tedeschi. I partigiani si salvarono tutti, tra gli assalitori si contarono 16 morti e 36 feriti. L’intervista è stata realizzata nel 2015.",https://www.noipartigiani.it/gnecchi/,925498539
Giulia D’Ovidio,Lazio/Emilia-R.,F,Poggio Mirteto (RI),42.2662,12.68652,Nata a Poggio Mirteto (RI) nel 1927. Ha svolto attività clandestina con la famiglia. La testimonianza è contenuta nel documentario “Donne nella Resistenza non armata a Roma e in Sabina” realizzato nel 2006 da Giuliano Calisti.,https://www.noipartigiani.it/dovidio/,925482478
Lorenzo Fenoglio,Piemonte,M,Serravalle Langhe (CN),44.56111,8.05944,"Nato a Serravalle Langhe (Cuneo) il 13 aprile 1923, studente. Nome di battaglia “Renzo”. Comandante di distaccamento della 99ª Brigata Garibaldi. Medaglia di Bronzo Al Valor Militare. L’intervista è stata realizzata da Beppe Fenocchio.",https://www.noipartigiani.it/fenoglio_lorenzo/,928047374
Giovanna Marturano,Lazio,F,Roma,41.89332,12.48293,"Nata a Roma il 27 marzo 1912, studentessa. Iscritta al Partito Comunista, svolse la sua attività clandestina tra Roma e Milano. Arrestata nel 1938, scontò un mese di carcere e venne schedata come sovversiva. Sposò il marito Pietro Grifone a Ventotene dove era confinato. È stata insignita della Medaglia di Bronzo al Valor Militare. La testimonianza è contenuta nel documentario “Donne nella Resistenza non armata a Roma e in Sabina” realizzato nel 2006 da Giuliano Calisti.",https://www.noipartigiani.it/marturano/,925489860
Bruno Landi,Toscana,M,Sesto Fiorentino (FI),43.83248,11.1983,"Nato a Sesto Fiorentino (FI) il 31 maggio 1926. Nome di battaglia “Lince”. Xª Brigata “Caiani”, 22ª Brigata Garibaldi. L’intervista è stata realizzata nel 2011 da Antonio Fanelli.",https://www.noipartigiani.it/landi/,925820901
Angelo Carmine,Piemonte,M,Calosso (AT),44.74015,8.22684,Nato a Calosso (AT) il 22 luglio 1925. Nome di battaglia “John”. 2ª Divisione Langhe. L’intervista è stata realizzata da Beppe Fenocchio.,https://www.noipartigiani.it/angelo_carmine/,926200597
Aldo Melito,Campania,M,Napoli,40.83593,14.24878,"Nato a Napoli il 26 novembre 1932. È testimone dei fatti che avvennero nelle Quattro Giornate di Napoli dal 27 al 30 settembre 1943. Il padre Luigi, ferroviere, rifiutò di iscriversi al partito e fu arrestato dai fascisti che lo rinchiusero nel campo di concentramento di Santa Maria Capua Vetere. L’intervista è stata realizzata nel 2023.",https://www.noipartigiani.it/melito/,926193987
Prima Casotti,Emilia-Romagna,F,Mercato Saraceno (FC),43.95159,12.19702,Nata a Mercato Saraceno (FO) il 13 luglio 1925. Ha svolto attività di supporto ai partigiani della 8ª Brigata Garibaldi di cui faceva parte anche il futuro marito Paolo Saragoni.,https://www.noipartigiani.it/casotti_prima/,925813202
Adolfo Trisconi,Piemonte,M,Crevoladossola (VB),46.14713,8.29658,"Nato a Crevolad’ossola (VB) il 24 ottobre 1926, scalpellino. Nome di battaglia “Pinela”. Brigata Matteotti. L’intervista è stata realizzata da Paolo De Toni nel gennaio 2017.",https://www.noipartigiani.it/trisconi_adolfo/,930278662
Egidio Noris,Liguria,M,Genova,44.40726,8.93386,Nato a Genova il 2 maggio 1912. Nome di battaglia “Claudio”. Vice-comandante della brigata “Masnata” che operava all’interno della fabbrica Ansaldo Meccanico di Sestri Ponente (Ge). L’intervista è stata realizzata nel 2006.,https://www.noipartigiani.it/egidio-noris/,928058493
Renzo Mensi,Piemonte,M,Piovera (AL),44.95874,8.73719,"Nato a Piovera (AL) il 20 gennaio 1930, studente. Nome di battaglia “Lulù”. Staffetta Divisione Marengo.",https://www.noipartigiani.it/mensi_enzo/,929901645
Livia Morini,Emilia-Romagna,F,Imola (BO),44.35345,11.71424,"Nata a Imola (BO) il 18 luglio 1923, studentessa. Nome di battaglia “Camillina”. Ha svolto soprattutto attività di informazione clandestina collaborando alla realizzazione dei giornali “Vent’anni” e “La Comune”. Sull’esperienza delle donne nella Resistenza ha scritto il libro “…per essere libere…”. L’intervista è stata realizzata nel 1994.",https://www.noipartigiani.it/livia-morini-2/,928074102
Nora Torre,Liguria,F,Genova,44.40726,8.93386,"Nata a Genova il 13 gennaio 1922. Nome di battaglia “Ivonne”. Sap Buranello, collegamento con la Brigata Balilla. Il padre Giovanni Torre fu ucciso l’8 dicembre 1944. Nell’intervista fa riferimento anche alla morte di Ernesto Jursè e Giuseppe Spataro uccisi nel gennaio 1945.",https://www.noipartigiani.it/torre_nora/,935772831
Luigi Pezza,Liguria,M,Savona,44.30752,8.4811,"Nato a Savona il 15 maggio 1926, operaio. Nome di battaglia “Ivan”. Fronte della Gioventù, ha fatto parte delle prime formazioni organizzate a Montenotte. Deportato in Germania. L’intervista è stata realizzata da Lab Buster Keaton.",https://www.noipartigiani.it/pezza/,933732084
Carmen Bisighin,Liguria,F,Genova,44.40726,8.93386,Nata a Genova l’1 aprile 1925. Staffetta Giustizia e Libertà.,https://www.noipartigiani.it/bisighin/,933748401
Angela Michelini,Liguria,F,Genova,44.40726,8.93386,Nata a Genova l’1 gennaio 1924. Nome di battaglia “Emilia”. Brigata Gap “Rizzolo”. Nell’intervista fa riferimento all’attentato al bar Olanda di via del Campo avvenuto il 25 giugno 1944.,https://www.noipartigiani.it/michelini/,933743355
Aldo Ferrari,Liguria,M,Savona,44.30752,8.4811,Nato a Savona nel 1929. Fronte della Gioventù. L’intervista è stata realizzata da Lab Buster Keaton nel 2015.,https://www.noipartigiani.it/aldo-ferrari/,926205578
Gilberta Nardini,Emilia-Romagna,F,Formignana (FE),44.8465,11.85408,"Nata a Formignana (FE) il 19 gennaio 1921, operaia. Nome di battaglia “Valeria”. Ha fatto la Resistenza a Genova, Brigata “Buranello”.",https://www.noipartigiani.it/nardini/,935910813
Giulio Cecchini,Toscana,M,San Terenzo Monti (MS),44.18485,10.05221,"Nato a San Terenzo Monti (MS) il 10 gennaio 1923, allievo ufficiale. IMI Internato Militare Italiano. L’intervista è stata realizzata da Silvia Cappelli nel 2014.",https://www.noipartigiani.it/cecchini_giulio/,935769098
Stefano Malatesta,Liguria,M,Cicagna (GE),44.40726,9.23661,"Nato a Cicagna (GE), l’11 ottobre 1915, carabiniere. Nome di battaglia “Croce”. Comandante Brigata “Jori”, Divisione Cichero.",https://www.noipartigiani.it/malatesta/,916659283
Cariddi Marinacci,Lazio,M,Marta (VT),42.53171,11.92556,"Cariddi “Biagiana” Marinacci Nato a Marta (VT) il 23 gennaio 1923, pescatore. Ha svolto attività di supporto alla banda partigiana “Arancio Montauto”. L’intervista fa parte del documentario “Aspettando gli alleati” realizzato nel 2009 da Giuliano Calisti e Francesco Giuliani.",https://www.noipartigiani.it/marinacci/,916659476
Giacomo Bonicelli,Lombardia,M,Pian Camuno (BS),45.84501,10.15174,"Nato a Pian Camuno (BS), il 12 ottobre 1927. Nome di battaglia “Badoglino”. Residente a Genova, ha fatto la Resistenza nella Brigata Jori, Volante Balilla.",https://www.noipartigiani.it/bonicelli/,916659387
Giovanni Zancanaro,Veneto,M,Villorba (TV),45.7196,12.24727,"Nato a Catena di Villorba (TV) il 21 gennaio 1927. Divisione Monte Grappa, Brigata Matteotti “Luciano Rigo”. Caposquadra.",https://www.noipartigiani.it/zancanaro/,916660188
Dionisio Marchelli,Liguria/Francia,M,Nizza Marittima (FRA),43.70093,7.26839,"Nato a Nizza Marittima, Francia, il 20 giugno 1925, operaio. Nome di battaglia “Denis”. Distaccamento Scintilla, Divisione Cichero, Volante Severino.",https://www.noipartigiani.it/marchelli/,916659532
Carlo Cessa,Veneto/Lombardia,M,Rovigo,45.07111,11.79056,"Nato a Rovigo il 25 novembre 1922, operaio. Nome di battaglia “Bobi”. Ha svolto la sua attività clandestina a Legnano (Mi) a supporto dei partigiani della 181ª e 182ª Brigata Garibaldi. L’intervista è stata realizzata nel 2009.",https://www.noipartigiani.it/cessa_1/,921122406
Amelio Selvo,Piemonte,M,Caprie (TO),45.11894,7.3323,"Nato a Caprie (TO) il 25 febbraio 1925, operaio. Nome di battaglia “Gabet”. Ha tenuto i contatti prima con la 17ª Brigata Garibaldi, poi con la 113ª Brigata Garibaldi. L’intervista è stata realizzata nel 2010.",https://www.noipartigiani.it/selvo/,921082930
Cornelio Maffiodo,Piemonte,M,Caprie (TO),45.11894,7.3323,"Nato a Caprie (TO) il 30 ottobre 1923, operaio. Nome di battaglia “Pistola”. Ha iniziato a fare il partigiano in formazioni autonome, poi nella 113ª Brigata Garibaldi. Dopo la guerra è stato meccanico e pilota. L’intervista è stata realizzata nel 2010.",https://www.noipartigiani.it/maffiodo/,921082748
Giovanni Giordano,Piemonte,M,Treiso (CN),44.68884,8.08722,"Nato a Treiso (CN) il 27 gennaio 1925. Nome di battaglia “Gino”. 2ª Divisione Langhe, Compagnia Belbo. L’intervista è stata realizzata da Beppe Fenocchio nel 2017.",https://www.noipartigiani.it/giordano/,932503974
Renato Salvetti,Piemonte,M,Monesiglio (CN),44.46369,8.11883,"Nato a Monesiglio (CN) il 6 novembre 1924, operaio. Nome di battaglia “Renè”. Partigiano garibaldino, viene arrestato nel dicembre 1943 e deportato a Mauthausen. Quando ritorna a casa nel 1945 scopre che la madre Caterina è morta nel bombardamento di Dogliani il 31 luglio 1944. Sulla sua vita Anna Raviglione e Franca Di Palma hanno scritto il libro “Sopravvissuto a Mauthausen”. L’intervista è stata realizzata da Beppe Fenocchio nel 2012.",https://www.noipartigiani.it/salvetti/,932503513
Giovanni Gnocchi,Lombardia,M,Tabellano (MN),44.97825,10.74103,"Nato a Tabellano (MN) il 16 settembre 1924, operaio. IMI, Internato Militare Italiano. È stato deportato in Germania, Austria, Cecoslovacchia. L’intervista è stata realizzata nel 2021.",https://www.noipartigiani.it/gnocchi/,932503054
Riccardo Garelli,Piemonte,M,Carmagnola (TO),44.8465,7.71881,"Nato a Carmagnola (TO) il 26 ottobre 1924, studente. Nome di battaglia “Dich”. IIª Divisione Langhe, 12ª Brigata Bra. L’intervista è stata realizzata da Beppe Fenocchio nel 2019.",https://www.noipartigiani.it/garelli/,932502819
Narciso Vignola,Liguria,M,Savona,44.30752,8.4811,"Nato a Savona il 27 marzo 1928. Nome di Battaglia “Jena”. Distaccamento “Biondo”, 16ª Brigata, 6ª Divisione Garibaldi. L’intervista è stata realizzata da Lab Buster Keaton nel 2015.",https://www.noipartigiani.it/vignola/,932504224
Maria Martinoni,Liguria,F,Masone (GE),44.50294,8.71183,"Nata a Masone (GE) il 4 febbraio 1924. Nome di battaglia “Giuliana”. Brigata “Oreste”, Divisione “Pinan Cichero”, VIª Zona Operativa Partigiana.",https://www.noipartigiani.it/martinoni/,932898371
Giovanni Stazi,Lazio,M,Guidonia M. (RM),41.99616,12.72754,Nato a Guidonia Montecelio (Roma) il 27 giugno 1922. IMI Internato Militare Italiano. Caporal maggiore del 13° Reggimento “Cavalleggeri di Monferrato”. Deportato in Germania.,https://www.noipartigiani.it/stazi/,933303529
Alfio Tabani,Toscana,M,S. Gimignano (SI),43.46781,11.04321,"Nato a San Gimignano (SI) il 29 giugno 1924, ferroviere. Brigata “Spartaco Lavagnini”. Arruolato nel gruppo “Cremona” del Nuovo Esercito Italiano ha partecipato alla liberazione di Alfonsine, in provincia di Ravenna. L’intervista è stata realizzata da Silvia Cappelli nel 2014.",https://www.noipartigiani.it/tabani/,933303424
Moreno Costa,Toscana,M,Pietrasanta (LU),43.95874,10.22878,Nato a Pietrasanta (LU) il 6 maggio 1926. Formazione “Bandelloni”. Dopo la Liberazione della Toscana ha proseguito la guerra arruolandosi nel gruppo di combattimento “Piceno” a fianco degli inglesi. Nel dopoguerra ha svolto l’attività di sminatore.,https://www.noipartigiani.it/costa-2/,933303288
Andrea Bianchi,Emilia-Romagna,M,Coriano (RN),43.96541,12.60533,"Nato a Coriano (RN) il 22 marzo 1924, finanziere. Arruolato a 18 anni nella Guardia di Finanza, l’8 settembre si trova in Jugoslavia. Rifiuta di consegnarsi ai tedeschi ed entra nelle file della Divisione Partigiana Italiana “Garibaldi” guidata dal generale Giovanni Battista Oxilia. L’intervista è stata realizzata nel 2013.",https://www.noipartigiani.it/bianchi/,933303796
Luigi Rastelli,Emilia-Romagna,M,Parma,44.80137,10.32808,"Nato a Parma il 13 maggio 1921, studente. Nome di battaglia “Annibale”. 31ª Brigata Garibaldi “Coppelli”. L’intervista è stata realizzata nel 2015.",https://www.noipartigiani.it/rastelli/,936719970
Oreste Arnello,Liguria,M,Rocchetta Cairo (SV),44.4172,8.24355,"Nato a Rocchetta di Cairo (SV) il 16 gennaio 1926, operaio meccanico. Nome di battaglia “Leoncino”. Divisione Fumagalli, Brigata Savona. Sulla sua storia Bruno Chiarlone e Beppe Sabatini hanno scritto il libro “Partigiano Leoncino”. L’intervista è stata realizzata da Lab Buster Keaton nel 2015.",https://www.noipartigiani.it/arnello/,936719805
